ID,ASK,COUNT,CREATED,MAX,MEAN,MEDIAN,MIN,STANDARDDEVIATION,SUM,VARIANCE
6202,0,50,1498680519984,52074.2672249131,5123.4263084647,738.5932931297,0.2482,10586.6266654443,256171.315423233,112076664.153495
6332,0,50,1498680531988,52074.2672249131,5202.6669800364,738.5932931297,0.2482,10582.0417113225,260133.349001819,111979606.780169
5942,0,50,1498680497533,52074.2672249131,4347.9860110995,287.774927458,0.2482,10003.7241115954,217399.300554976,100074496.100915
2559,1,50,1498680185716,52615.4253779639,4163.3332550195,157.820738891,0.275839368,9970.4605588527,208166.662750976,99410083.7556378
7762,0,50,1498680661762,52074.2672249131,4754.4674798659,738.5932931297,0.2482,9914.6945721869,237723.373993296,98301168.4597516
7632,0,50,1498680650578,52074.2672249131,4910.4200988349,917.5424671524,0.2482,9909.0999640104,245521.004941745,98190262.0967517
7242,0,50,1498680614076,52074.2672249131,4799.3273756488,917.5424671524,0.2482,9901.6213488317,239966.36878244,98042105.3356387
6982,0,50,1498680589599,52074.2672249131,4777.5328755083,917.5424671524,0.2482,9899.9607911691,238876.643775416,98009223.6666857
6462,0,50,1498680543273,52074.2672249131,4719.4464640391,657.238231735,0.2482,9895.4401042096,235972.323201955,97919734.8559994
6073,0,50,1498680508873,52074.2672249131,4584.3179400629,738.5932931297,0.24855,9885.4330090005,229215.897003143,97721785.7754368
7112,0,50,1498680602467,52074.2672249131,4758.3610054793,1165.1054653125,0.2482,9875.7189461627,237918.050273967,97529824.7035975
2563,1,50,1498680197922,52615.4253779639,4181.1951975749,201.4999042672,0.2517,9806.1854354321,209059.759878742,96161272.7940808
2693,1,50,1498680209531,52615.4253779639,4179.4100335892,201.4999042672,0.2517,9765.5454093608,208970.50167946,95365877.1422877
2823,1,50,1498680221433,52615.4253779639,4179.5523275415,201.4999042672,0.2517,9765.5288593014,208977.616377077,95365553.9018478
2953,1,50,1498680233032,52615.4253779639,4142.5642912159,248.8239322423,0.2517,9634.5199014556,207128.214560797,92823973.7315435
3083,1,50,1498680244706,52615.4253779639,3975.7627374394,201.4999042672,0.2517,9591.7540696234,198788.136871971,92001746.1321366
4123,1,50,1498680336259,52615.4253779639,3773.8135662059,93.602043202,0.2517,9531.8937685795,188690.678310297,90856998.8154851
3993,1,50,1498680325024,52615.4253779639,3641.1586941442,93.602043202,0.2517,9488.4517410961,182057.934707208,90030716.4431103
4253,1,50,1498680348309,52615.4253779639,3737.8651095462,97.8220346967,0.2517,9468.7520654638,186893.25547731,89657265.6772239
4383,1,50,1498680359698,52615.4253779639,3574.3164494462,93.602043202,0.2517,9464.1170474299,178715.822472308,89569511.4874529
3863,1,50,1498680314005,52615.4253779639,3895.2445331525,97.8220346967,0.2517,9425.1700597998,194762.226657625,88833830.6561466
3213,1,50,1498680256079,52615.4253779639,4104.9213721832,234.0809635049,0.2517,9256.2101516481,205246.068609161,85677426.3714731
3603,1,50,1498680290770,52615.4253779639,4109.888606052,234.0809635049,0.2517,9221.30307106,205494.430302599,85032430.3283409
6852,0,50,1498680577306,52074.2672249131,3947.3470486511,513.299283961,0.2482,9205.0960706641,197367.352432554,84733793.670156
6592,0,50,1498680554622,52074.2672249131,3641.6115858788,249.8566005295,0.2482,9185.7582210843,182080.579293941,84378154.0962181
6722,0,50,1498680566008,52074.2672249131,3839.5708881762,412.7983067695,0.2482,9160.1142753473,191978.544408811,83907693.5374218
4513,1,50,1498680370987,50196.3230227996,3802.3030364115,97.8220346967,0.2517,9153.0296432902,190115.151820576,83777951.6509499
4643,1,50,1498680383030,50196.3230227996,3769.7475664098,97.8220346967,0.2517,9042.0284218624,188487.378320489,81758277.9817666
3343,1,50,1498680267801,52615.4253779639,4058.8882258154,234.0809635049,0.2517,8919.9480837106,202944.41129077,79565473.8160918
